toa,bat,bin,res,err
58948.135918015,58948.1403789036,0.043567535933107,-1.58E-05,26.4542624585414
58948.135918021,58948.1403792354,0.04356769262813,7.60E-06,6.58632288315414
58948.1359181047,58948.1403792348,0.0435676923953,-4.59E-05,31.4457372519114
58952.0581051445,58952.0627486758,0.895539311575703,6.45E-05,46.4588356841771
58952.0581051943,58952.0627483437,0.895539154764265,9.76E-06,35.6802810160215
58952.0581052215,58952.0627486749,0.895539311110042,-1.74E-05,12.4290323623803
58952.0581052734,58952.0627486749,0.895539311110042,-1.61E-05,7.37327697871957
58952.0581053353,58952.0627483433,0.895539154531434,-2.70E-05,10.072380162793
58952.05810534,58952.0627486752,0.895539311226457,1.18E-05,22.6663726348377
58952.0581054251,58952.0627486752,0.895539311226457,7.46E-06,12.8907022807616
